Record,FishLength,Gender
1,19,M
2,17,M
3,21,M
4,20,M
5,18,M
6,21,M
7,20,M
8,18,M
9,21,M
10,17,M
11,17,M
12,21,M
13,18,M
14,23,M
15,24,M
16,20,M
17,21,M
18,22,M
19,22,M
20,18,M
21,23,M
22,16,M
23,24,M
24,20,M
25,16,M
26,21,M
27,17,M
28,16,M
29,24,M
30,24,M
31,27,M
32,22,M
33,21,M
34,21,M
35,23,M
36,24,M
37,22,M
38,21,M
39,23,M
40,22,M
41,22,M
42,22,M
43,22,M
44,22,M
45,28,M
46,22,M
47,22,M
48,24,M
49,21,M
50,22,M
51,24,M
52,22,M
53,23,M
54,24,M
55,22,M
56,23,M
57,24,M
58,20,M
59,20,M
60,22,M
61,22,M
62,24,M
63,31,M
64,22,M
65,23,M
66,28,M
67,19,M
68,22,M
69,21,M
70,23,M
71,22,M
72,24,M
73,20,M
74,23,M
75,17,M
76,22,M
77,24,M
78,20,M
79,20,M
80,23,M
81,20,M
82,18,M
83,21,M
84,25,M
85,22,M
86,29,M
87,19,M
88,22,M
89,21,M
90,20,M
91,20,M
92,23,M
93,22,M
94,18,M
95,22,M
96,21,M
97,22,M
98,21,M
99,22,M
100,24,M
101,17,M
102,22,M
103,23,M
104,21,M
105,21,M
106,19,M
107,24,M
108,20,M
109,23,M
110,21,M
111,19,M
112,22,M
113,22,M
114,21,M
115,23,M
116,20,M
117,21,M
118,20,M
119,20,M
120,23,M
121,20,M
122,21,M
123,20,M
124,20,M
125,24,M
126,24,M
127,24,M
128,18,M
129,19,M
130,21,M
131,21,M
132,19,M
133,25,M
134,23,M
135,25,M
136,23,M
137,24,M
138,24,M
139,23,M
140,25,M
141,23,M
142,22,M
143,24,M
144,23,M
145,23,M
146,21,M
147,24,M
148,24,M
149,23,M
150,21,M
151,24,M
152,26,M
153,24,M
154,23,M
155,23,M
156,24,M
157,25,M
158,24,M
159,23,M
160,24,M
161,22,M
162,21,M
163,23,M
164,26,M
165,24,M
166,24,M
167,22,M
168,21,M
169,24,M
170,21,M
171,26,M
172,22,M
173,21,M
174,22,M
175,22,M
176,26,M
